land_id,crop_name,season,area
A1,黄豆,单季,0.0
A1,黄豆,第一季,0.0
A1,黄豆,第二季,0.0
A1,黑豆,单季,0.0
A1,黑豆,第一季,0.0
A1,黑豆,第二季,0.0
A1,红豆,单季,0.0
A1,红豆,第一季,0.0
A1,红豆,第二季,0.0
A1,绿豆,单季,0.0
A1,绿豆,第一季,0.0
A1,绿豆,第二季,0.0
A1,爬豆,单季,0.0
A1,爬豆,第一季,0.0
A1,爬豆,第二季,0.0
A1,小麦,单季,0.0
A1,小麦,第一季,0.0
A1,小麦,第二季,0.0
A1,玉米,单季,0.0
A1,玉米,第一季,0.0
A1,玉米,第二季,0.0
A1,谷子,单季,0.0
A1,谷子,第一季,0.0
A1,谷子,第二季,0.0
A1,高粱,单季,0.0
A1,高粱,第一季,0.0
A1,高粱,第二季,0.0
A1,黍子,单季,0.0
A1,黍子,第一季,0.0
A1,黍子,第二季,0.0
A1,荞麦,单季,0.0
A1,荞麦,第一季,0.0
A1,荞麦,第二季,0.0
A1,南瓜,单季,0.0
A1,南瓜,第一季,0.0
A1,南瓜,第二季,0.0
A1,红薯,单季,0.0
A1,红薯,第一季,0.0
A1,红薯,第二季,0.0
A1,莜麦,单季,0.0
A1,莜麦,第一季,0.0
A1,莜麦,第二季,0.0
A1,大麦,单季,0.0
A1,大麦,第一季,0.0
A1,大麦,第二季,0.0
A1,水稻,单季,0.0
A1,水稻,第一季,0.0
A1,水稻,第二季,0.0
A1,豇豆,单季,0.0
A1,豇豆,第一季,0.0
A1,豇豆,第二季,0.0
A1,刀豆,单季,0.0
A1,刀豆,第一季,0.0
A1,刀豆,第二季,0.0
A1,芸豆,单季,0.0
A1,芸豆,第一季,0.0
A1,芸豆,第二季,0.0
A1,土豆,单季,0.0
A1,土豆,第一季,0.0
A1,土豆,第二季,0.0
A1,西红柿,单季,0.0
A1,西红柿,第一季,0.0
A1,西红柿,第二季,0.0
A1,茄子,单季,0.0
A1,茄子,第一季,0.0
A1,茄子,第二季,0.0
A1,菠菜 ,单季,0.0
A1,菠菜 ,第一季,0.0
A1,菠菜 ,第二季,0.0
A1,青椒,单季,0.0
A1,青椒,第一季,0.0
A1,青椒,第二季,0.0
A1,菜花,单季,0.0
A1,菜花,第一季,0.0
A1,菜花,第二季,0.0
A1,包菜,单季,0.0
A1,包菜,第一季,0.0
A1,包菜,第二季,0.0
A1,油麦菜,单季,0.0
A1,油麦菜,第一季,0.0
A1,油麦菜,第二季,0.0
A1,小青菜,单季,0.0
A1,小青菜,第一季,0.0
A1,小青菜,第二季,0.0
A1,黄瓜,单季,0.0
A1,黄瓜,第一季,0.0
A1,黄瓜,第二季,0.0
A1,生菜 ,单季,0.0
A1,生菜 ,第一季,0.0
A1,生菜 ,第二季,0.0
A1,辣椒,单季,0.0
A1,辣椒,第一季,0.0
A1,辣椒,第二季,0.0
A1,空心菜,单季,0.0
A1,空心菜,第一季,0.0
A1,空心菜,第二季,0.0
A1,黄心菜,单季,0.0
A1,黄心菜,第一季,0.0
A1,黄心菜,第二季,0.0
A1,芹菜,单季,0.0
A1,芹菜,第一季,0.0
A1,芹菜,第二季,0.0
A1,大白菜,单季,0.0
A1,大白菜,第一季,0.0
A1,大白菜,第二季,0.0
A1,白萝卜,单季,0.0
A1,白萝卜,第一季,0.0
A1,白萝卜,第二季,0.0
A1,红萝卜,单季,0.0
A1,红萝卜,第一季,0.0
A1,红萝卜,第二季,0.0
A1,榆黄菇,单季,0.0
A1,榆黄菇,第一季,0.0
A1,榆黄菇,第二季,80.0
A1,香菇,单季,0.0
A1,香菇,第一季,0.0
A1,香菇,第二季,0.0
A1,白灵菇,单季,0.0
A1,白灵菇,第一季,0.0
A1,白灵菇,第二季,0.0
A1,羊肚菌,单季,0.0
A1,羊肚菌,第一季,0.0
A1,羊肚菌,第二季,0.0
A2,黄豆,单季,0.0
A2,黄豆,第一季,0.0
A2,黄豆,第二季,0.0
A2,黑豆,单季,0.0
A2,黑豆,第一季,0.0
A2,黑豆,第二季,0.0
A2,红豆,单季,0.0
A2,红豆,第一季,0.0
A2,红豆,第二季,0.0
A2,绿豆,单季,0.0
A2,绿豆,第一季,0.0
A2,绿豆,第二季,0.0
A2,爬豆,单季,0.0
A2,爬豆,第一季,0.0
A2,爬豆,第二季,0.0
A2,小麦,单季,0.0
A2,小麦,第一季,0.0
A2,小麦,第二季,0.0
A2,玉米,单季,0.0
A2,玉米,第一季,0.0
A2,玉米,第二季,0.0
A2,谷子,单季,0.0
A2,谷子,第一季,0.0
A2,谷子,第二季,0.0
A2,高粱,单季,0.0
A2,高粱,第一季,0.0
A2,高粱,第二季,0.0
A2,黍子,单季,0.0
A2,黍子,第一季,0.0
A2,黍子,第二季,0.0
A2,荞麦,单季,0.0
A2,荞麦,第一季,0.0
A2,荞麦,第二季,0.0
A2,南瓜,单季,0.0
A2,南瓜,第一季,0.0
A2,南瓜,第二季,0.0
A2,红薯,单季,0.0
A2,红薯,第一季,0.0
A2,红薯,第二季,0.0
A2,莜麦,单季,0.0
A2,莜麦,第一季,0.0
A2,莜麦,第二季,0.0
A2,大麦,单季,0.0
A2,大麦,第一季,0.0
A2,大麦,第二季,0.0
A2,水稻,单季,0.0
A2,水稻,第一季,0.0
A2,水稻,第二季,0.0
A2,豇豆,单季,0.0
A2,豇豆,第一季,0.0
A2,豇豆,第二季,0.0
A2,刀豆,单季,0.0
A2,刀豆,第一季,0.0
A2,刀豆,第二季,0.0
A2,芸豆,单季,0.0
A2,芸豆,第一季,0.0
A2,芸豆,第二季,0.0
A2,土豆,单季,0.0
A2,土豆,第一季,0.0
A2,土豆,第二季,0.0
